Article_URL,Adresse,Kvdm
https://www.boligsiden.dk/adresse/lundedalsvej-38-0-4-2900-hellerup-01014420__38_st___4,"Lundedalsvej 38, st. 4. 2900 Hellerup",88
https://www.boligsiden.dk/adresse/linde-alle-11-2-205-2720-vanloese-01014320__11__2_205,"Linde Allé 11, 2. 205. 2720 Vanløse",53
https://www.boligsiden.dk/adresse/sortedam-dossering-25-1-tv-2200-koebenhavn-n-01016740__25__1__tv,"Sortedam Dossering 25, 1. tv. 2200 København N",179
https://www.boligsiden.dk/adresse/solvaenget-5-3-th-2100-koebenhavn-oe-01016720___5__3__th,"Solvænget 5, 3. th. 2100 København Ø",139
https://www.boligsiden.dk/adresse/laurids-skaus-gade-9-1-th-2200-koebenhavn-n-01014188___9__1__th,"Laurids Skaus Gade 9, 1. th. 2200 København N",53
https://www.boligsiden.dk/adresse/classensgade-17b-3-th-2100-koebenhavn-oe-01011168_17b__3__th,"Classensgade 17B, 3. th. 2100 København Ø",145
https://www.boligsiden.dk/adresse/rudolph-berghs-gade-5-0-2100-koebenhavn-oe-01016004___5_st____,"Rudolph Berghs Gade 5, st. 2100 København Ø",67
https://www.boligsiden.dk/adresse/j.p.e.-hartmanns-alle-25-1-2500-valby-01012660__25__1____,"J.P.E. Hartmanns Allé 25, 1. 2500 Valby",106
https://www.boligsiden.dk/adresse/banevolden-44-0-4-2500-valby-01010368__44_st___4,"Banevolden 44, st. 4. 2500 Valby",40
https://www.boligsiden.dk/adresse/dunkerquegade-9-0-th-2150-nordhavn-01011374___9_st__th,"Dunkerquegade 9, st. th. 2150 Nordhavn",97
https://www.boligsiden.dk/adresse/vigerslev-alle-21-5-2500-valby-01018308__21__5____,"Vigerslev Allé 21, 5. 2500 Valby",67
https://www.boligsiden.dk/adresse/gimles-alle-2b-3-th-2300-koebenhavn-s-01012204__2b__3__th,"Gimles Allé 2B, 3. th. 2300 København S",82
https://www.boligsiden.dk/adresse/strandboulevarden-117-1-th-2100-koebenhavn-oe-01016988_117__1__th,"Strandboulevarden 117, 1. th. 2100 København Ø",77
https://www.boligsiden.dk/adresse/mellemforts-alle-6-1-th-2300-koebenhavn-s-01014708___6__1__th,"Mellemforts Allé 6, 1. th. 2300 København S",61
https://www.boligsiden.dk/adresse/cumberlandsgade-4-0-tv-2300-koebenhavn-s-01011192___4_st__tv,"Cumberlandsgade 4, st. tv. 2300 København S",52
https://www.boligsiden.dk/adresse/edvard-thomsens-vej-5d-0-4-2300-koebenhavn-s-01011442__5d_st___4,"Edvard Thomsens Vej 5D, st. 4. 2300 København S",73
https://www.boligsiden.dk/adresse/peter-bangs-vej-270-1-th-2500-valby-01015488_270__1__th,"Peter Bangs Vej 270, 1. th. 2500 Valby",58
https://www.boligsiden.dk/adresse/beethovensvej-7-0-th-2450-koebenhavn-sv-01010424___7_st__th,"Beethovensvej 7, st. th. 2450 København SV",61
https://www.boligsiden.dk/adresse/hessensgade-29-0-tv-2300-koebenhavn-s-01012872__29_st__tv,"Hessensgade 29, st. tv. 2300 København S",46
https://www.boligsiden.dk/adresse/korsoergade-2-2-2-2100-koebenhavn-oe-01013928___2__2___2,"Korsørgade 2, 2. 2. 2100 København Ø",53
https://www.boligsiden.dk/adresse/esthersvej-21-1-2900-hellerup-01011684__21__1____,"Esthersvej 21, 1. 2900 Hellerup",130
https://www.boligsiden.dk/adresse/alliancevej-4-2-tv-2450-koebenhavn-sv-01010090___4__2__tv,"Alliancevej 4, 2. tv. 2450 København SV",86
https://www.boligsiden.dk/adresse/c.f.-moellers-alle-28-1-tv-2300-koebenhavn-s-01014902__28__1__tv,"C.F. Møllers Allé 28, 1. tv. 2300 København S",92
https://www.boligsiden.dk/adresse/ulrik-birchs-alle-17-1-2300-koebenhavn-s-01017828__17__1____,"Ulrik Birchs Allé 17, 1. 2300 København S",120
https://www.boligsiden.dk/adresse/rasmus-rasks-vej-10-3-th-2500-valby-01015728__10__3__th,"Rasmus Rasks Vej 10, 3. th. 2500 Valby",81
https://www.boligsiden.dk/adresse/store-strandstraede-3-2-tv-1255-koebenhavn-k-01016960___3__2__tv,"Store Strandstræde 3, 2. tv. 1255 København K",55
https://www.boligsiden.dk/adresse/overskaeringen-7-3-th-2200-koebenhavn-n-01015380___7__3__th,"Overskæringen 7, 3. th. 2200 København N",54
https://www.boligsiden.dk/adresse/aarhus-plads-4-1-th-2100-koebenhavn-oe-01018700___4__1__th,"Århus Plads 4, 1. th. 2100 København Ø",115
https://www.boligsiden.dk/adresse/frederikssundsvej-154d-5-th-2700-broenshoej-01011964154d__5__th,"Frederikssundsvej 154D, 5. th. 2700 Brønshøj",87
https://www.boligsiden.dk/adresse/constantin-hansens-gade-35-2-th-1799-koebenhavn-v-01011185__35__2__th,"Constantin Hansens Gade 35, 2. th. 1799 København V",101
https://www.boligsiden.dk/adresse/voelundsgade-23-1-tv-2200-koebenhavn-n-01018480__23__1__tv,"Vølundsgade 23, 1. tv. 2200 København N",59
https://www.boligsiden.dk/adresse/nordre-alle-12-0-2500-valby-01015032__12_st____,"Nordre Allé 12, st. 2500 Valby",154
https://www.boligsiden.dk/adresse/frimestervej-10-1-tv-2400-koebenhavn-nv-01011996__10__1__tv,"Frimestervej 10, 1. tv. 2400 København NV",51
https://www.boligsiden.dk/adresse/jagtvej-27-2-tv-2200-koebenhavn-n-01013332__27__2__tv,"Jagtvej 27, 2. tv. 2200 København N",93
https://www.boligsiden.dk/adresse/frankrigshusene-3-0-th-2300-koebenhavn-s-01011900___3_st__th,"Frankrigshusene 3, st. th. 2300 København S",73
https://www.boligsiden.dk/adresse/constantin-hansens-gade-14-0-mf-1799-koebenhavn-v-01011185__14_st__mf,"Constantin Hansens Gade 14, st. mf. 1799 København V",74
https://www.boligsiden.dk/adresse/holmbladsgade-54-2-tv-2300-koebenhavn-s-01012984__54__2__tv,"Holmbladsgade 54, 2. tv. 2300 København S",59
https://www.boligsiden.dk/adresse/silkeborggade-21-4-tv-2100-koebenhavn-oe-01016384__21__4__tv,"Silkeborggade 21, 4. tv. 2100 København Ø",88
https://www.boligsiden.dk/adresse/brofogedvej-14-3-th-2400-koebenhavn-nv-01010860__14__3__th,"Brofogedvej 14, 3. th. 2400 København NV",66
https://www.boligsiden.dk/adresse/roskildevej-155-0-tv-2500-valby-01015968_155_st__tv,"Roskildevej 155, st. tv. 2500 Valby",61
https://www.boligsiden.dk/adresse/molbechsvej-13-3-tv-2500-valby-01014796__13__3__tv,"Molbechsvej 13, 3. tv. 2500 Valby",57
https://www.boligsiden.dk/adresse/absalonsgade-9-4-th-1658-koebenhavn-v-01010020___9__4__th,"Absalonsgade 9, 4. th. 1658 København V",100
https://www.boligsiden.dk/adresse/oesterbrogade-54a-5-2100-koebenhavn-oe-01018580_54a__5____,"Østerbrogade 54A, 5. 2100 København Ø",251
https://www.boligsiden.dk/adresse/laurids-skaus-gade-11-1-th-2200-koebenhavn-n-01014188__11__1__th,"Laurids Skaus Gade 11, 1. th. 2200 København N",53
https://www.boligsiden.dk/adresse/milanovej-6-3-th-2300-koebenhavn-s-01014760___6__3__th,"Milanovej 6, 3. th. 2300 København S",57
https://www.boligsiden.dk/adresse/drechselsgade-18-2-tv-2300-koebenhavn-s-01011324__18__2__tv,"Drechselsgade 18, 2. tv. 2300 København S",113
https://www.boligsiden.dk/adresse/burmeistersgade-13-2-tv-1429-koebenhavn-k-01010960__13__2__tv,"Burmeistersgade 13, 2. tv. 1429 København K",51
https://www.boligsiden.dk/adresse/gustav-adolfs-gade-14-4-2100-koebenhavn-oe-01012440__14__4____,"Gustav Adolfs Gade 14, 4. 2100 København Ø",121
https://www.boligsiden.dk/adresse/strandboulevarden-36-0-tv-2100-koebenhavn-oe-01016988__36_st__tv,"Strandboulevarden 36, st. tv. 2100 København Ø",102
https://www.boligsiden.dk/adresse/a.c.-meyers-vaenge-13b-5-th-2450-koebenhavn-sv-01014734_13b__5__th,"A.C. Meyers Vænge 13B, 5. th. 2450 København SV",90
https://www.boligsiden.dk/adresse/drechselsgade-18-7-th-2300-koebenhavn-s-01011324__18__7__th,"Drechselsgade 18, 7. th. 2300 København S",76
https://www.boligsiden.dk/adresse/blegdamsvej-4a-1-th-2200-koebenhavn-n-01010600__4a__1__th,"Blegdamsvej 4A, 1. th. 2200 København N",146
https://www.boligsiden.dk/adresse/carl-langes-vej-23-1-2500-valby-01011072__23__1____,"Carl Langes Vej 23, 1. 2500 Valby",112
https://www.boligsiden.dk/adresse/vejlegade-12-2-tv-2100-koebenhavn-oe-01018132__12__2__tv,"Vejlegade 12, 2. tv. 2100 København Ø",67
https://www.boligsiden.dk/adresse/soelvgade-19-2-tv-1307-koebenhavn-k-01017280__19__2__tv,"Sølvgade 19, 2. tv. 1307 København K",77
https://www.boligsiden.dk/adresse/vestbanevej-8-0-tv-2500-valby-01018196___8_st__tv,"Vestbanevej 8, st. tv. 2500 Valby",79
https://www.boligsiden.dk/adresse/johan-kellers-vej-61-3-th-2450-koebenhavn-sv-01013412__61__3__th,"Johan Kellers Vej 61, 3. th. 2450 København SV",59
https://www.boligsiden.dk/adresse/sundkaj-87-2-th-2150-nordhavn-01017122__87__2__th,"Sundkaj 87, 2. th. 2150 Nordhavn",110
https://www.boligsiden.dk/adresse/colbjoernsensgade-15-1-th-1652-koebenhavn-v-01011180__15__1__th,"Colbjørnsensgade 15, 1. th. 1652 København V",69
https://www.boligsiden.dk/adresse/gerdasgade-8-1-2500-valby-01012180___8__1____,"Gerdasgade 8, 1. 2500 Valby",112
https://www.boligsiden.dk/adresse/hannemanns-alle-12u-0-4-2300-koebenhavn-s-01012578_12u_st___4,"Hannemanns Allé 12U, st. 4. 2300 København S",92
https://www.boligsiden.dk/adresse/indiakaj-11-3-tv-2100-koebenhavn-oe-01013266__11__3__tv,"Indiakaj 11, 3. tv. 2100 København Ø",75
https://www.boligsiden.dk/adresse/kildevaeldsgade-73-2-th-2100-koebenhavn-oe-01013656__73__2__th,"Kildevældsgade 73, 2. th. 2100 København Ø",50
https://www.boligsiden.dk/adresse/rebekkavej-35-0-th-2900-hellerup-01015752__35_st__th,"Rebekkavej 35, st. th. 2900 Hellerup",59
https://www.boligsiden.dk/adresse/under-elmene-12-5-tv-2300-koebenhavn-s-01017844__12__5__tv,"Under Elmene 12, 5. tv. 2300 København S",64
https://www.boligsiden.dk/adresse/stormgade-12a-1-tv-1470-koebenhavn-k-01016972_12a__1__tv,"Stormgade 12A, 1. tv. 1470 København K",110
https://www.boligsiden.dk/adresse/axel-heides-gade-8c-3-mf-2300-koebenhavn-s-01010288__8c__3__mf,"Axel Heides Gade 8C, 3. mf. 2300 København S",64
https://www.boligsiden.dk/adresse/constantin-hansens-gade-18-3-tv-1799-koebenhavn-v-01011185__18__3__tv,"Constantin Hansens Gade 18, 3. tv. 1799 København V",103
https://www.boligsiden.dk/adresse/clara-pontoppidans-vej-8-2-th-2500-valby-01011166___8__2__th,"Clara Pontoppidans Vej 8, 2. th. 2500 Valby",91
https://www.boligsiden.dk/adresse/hjoerringgade-5-4-tv-2100-koebenhavn-oe-01012956___5__4__tv,"Hjørringgade 5, 4. tv. 2100 København Ø",74
https://www.boligsiden.dk/adresse/robert-jacobsens-vej-66-8-p1-2300-koebenhavn-s-01015894__66__8__p1,"Robert Jacobsens Vej 66, 8. p1. 2300 København S",106
https://www.boligsiden.dk/adresse/kultorvet-15-1-1175-koebenhavn-k-01014024__15__1____,"Kultorvet 15, 1. 1175 København K",142
https://www.boligsiden.dk/adresse/nyhavn-31e-3-3-1051-koebenhavn-k-01015112_31e__3___3,"Nyhavn 31E, 3. 3. 1051 København K",76
https://www.boligsiden.dk/adresse/sankt-annae-gade-1a-2-tv-1416-koebenhavn-k-01016228__1a__2__tv,"Sankt Annæ Gade 1A, 2. tv. 1416 København K",93
https://www.boligsiden.dk/adresse/c.f.-moellers-alle-62-0-th-2300-koebenhavn-s-01014902__62_st__th,"C.F. Møllers Allé 62, st. th. 2300 København S",93
https://www.boligsiden.dk/adresse/roskildevej-145-2-tv-2500-valby-01015968_145__2__tv,"Roskildevej 145, 2. tv. 2500 Valby",60
https://www.boligsiden.dk/adresse/peter-holms-vej-4-5-th-2450-koebenhavn-sv-01018815___4__5__th,"Peter Holms Vej 4, 5. th. 2450 København SV",95
https://www.boligsiden.dk/adresse/aegirsgade-68-0-tv-2200-koebenhavn-n-01018520__68_st__tv,"Ægirsgade 68, st. tv. 2200 København N",58
https://www.boligsiden.dk/adresse/brigadevej-12-1-tv-2300-koebenhavn-s-01010844__12__1__tv,"Brigadevej 12, 1. tv. 2300 København S",41
https://www.boligsiden.dk/adresse/reberbanegade-15-0-th-2300-koebenhavn-s-01015756__15_st__th,"Reberbanegade 15, st. th. 2300 København S",51
https://www.boligsiden.dk/adresse/skaanegade-4-3-tv-2300-koebenhavn-s-01016560___4__3__tv,"Skånegade 4, 3. tv. 2300 København S",95
https://www.boligsiden.dk/adresse/strandvejen-20a-1-th-2100-koebenhavn-oe-01017004_20a__1__th,"Strandvejen 20A, 1. th. 2100 København Ø",121
https://www.boligsiden.dk/adresse/c.f.-moellers-alle-14-2-tv-2300-koebenhavn-s-01014902__14__2__tv,"C.F. Møllers Allé 14, 2. tv. 2300 København S",87
https://www.boligsiden.dk/adresse/nattergalevej-78-1-th-2400-koebenhavn-nv-01014948__78__1__th,"Nattergalevej 78, 1. th. 2400 København NV",54
https://www.boligsiden.dk/adresse/frimestervej-5-1-tv-2400-koebenhavn-nv-01011996___5__1__tv,"Frimestervej 5, 1. tv. 2400 København NV",49
https://www.boligsiden.dk/adresse/handelsvej-22-1-th-2450-koebenhavn-sv-01013168__22__1__th,"Händelsvej 22, 1. th. 2450 København SV",53
https://www.boligsiden.dk/adresse/alliancevej-12a-2-3-2450-koebenhavn-sv-01010090_12a__2___3,"Alliancevej 12A, 2. 3. 2450 København SV",135
https://www.boligsiden.dk/adresse/soender-boulevard-74-4-tv-1720-koebenhavn-v-01017288__74__4__tv,"Sønder Boulevard 74, 4. tv. 1720 København V",83
https://www.boligsiden.dk/adresse/glentevej-10-4-12-2400-koebenhavn-nv-01012236__10__4__12,"Glentevej 10, 4. 12. 2400 København NV",45
https://www.boligsiden.dk/adresse/aaboulevard-14-3-tv-2200-koebenhavn-n-01018636__14__3__tv,"Åboulevard 14, 3. tv. 2200 København N",105
https://www.boligsiden.dk/adresse/hyltebjerg-alle-48a-1-tv-2720-vanloese-01013140_48a__1__tv,"Hyltebjerg Allé 48A, 1. tv. 2720 Vanløse",69
https://www.boligsiden.dk/adresse/vimmelskaftet-36a-3-th-1161-koebenhavn-k-01018364_36a__3__th,"Vimmelskaftet 36A, 3. th. 1161 København K",84
https://www.boligsiden.dk/adresse/marstalsgade-19-0-tv-2100-koebenhavn-oe-01014668__19_st__tv,"Marstalsgade 19, st. tv. 2100 København Ø",56
https://www.boligsiden.dk/adresse/aegirsgade-73-2-tv-2200-koebenhavn-n-01018520__73__2__tv,"Ægirsgade 73, 2. tv. 2200 København N",86
https://www.boligsiden.dk/adresse/jellingegade-5-3-th-2100-koebenhavn-oe-01013360___5__3__th,"Jellingegade 5, 3. th. 2100 København Ø",63
https://www.boligsiden.dk/adresse/c.f.-moellers-alle-64-7-th-2300-koebenhavn-s-01014902__64__7__th,"C.F. Møllers Allé 64, 7. th. 2300 København S",102
https://www.boligsiden.dk/adresse/toftegaards-alle-43-1-tv-2500-valby-01017524__43__1__tv,"Toftegårds Allé 43, 1. tv. 2500 Valby",94
https://www.boligsiden.dk/adresse/johan-kellers-vej-34-1-tv-2450-koebenhavn-sv-01013412__34__1__tv,"Johan Kellers Vej 34, 1. tv. 2450 København SV",59
https://www.boligsiden.dk/adresse/viborggade-3-0-th-2100-koebenhavn-oe-01018292___3_st__th,"Viborggade 3, st. th. 2100 København Ø",44
https://www.boligsiden.dk/adresse/hammerensgade-8-3-th-1267-koebenhavn-k-01012560___8__3__th,"Hammerensgade 8, 3. th. 1267 København K",92
https://www.boligsiden.dk/adresse/hammershoeis-kaj-4-3-th-1402-koebenhavn-k-01012570___4__3__th,"Hammershøis Kaj 4, 3. th. 1402 København K",74
https://www.boligsiden.dk/adresse/johan-kellers-vej-63-1-tv-2450-koebenhavn-sv-01013412__63__1__tv,"Johan Kellers Vej 63, 1. tv. 2450 København SV",70
https://www.boligsiden.dk/adresse/krimsvej-5c-2-th-2300-koebenhavn-s-01013952__5c__2__th,"Krimsvej 5C, 2. th. 2300 København S",106
https://www.boligsiden.dk/adresse/oester-soegade-30-1-tv-1357-koebenhavn-k-01018608__30__1__tv,"Øster Søgade 30, 1. tv. 1357 København K",120
https://www.boligsiden.dk/adresse/teglholm-tvaervej-19-1-tv-2450-koebenhavn-sv-01017355__19__1__tv,"Teglholm Tværvej 19, 1. tv. 2450 København SV",89
https://www.boligsiden.dk/adresse/rebekkavej-14-2-th-2900-hellerup-01015752__14__2__th,"Rebekkavej 14, 2. th. 2900 Hellerup",71
https://www.boligsiden.dk/adresse/toftegaards-plads-6-3-tv-2500-valby-01017528___6__3__tv,"Toftegårds Plads 6, 3. tv. 2500 Valby",102
https://www.boligsiden.dk/adresse/sorgenfrigade-11-2-tv-2200-koebenhavn-n-01016732__11__2__tv,"Sorgenfrigade 11, 2. tv. 2200 København N",55
https://www.boligsiden.dk/adresse/ungarnsgade-39-3-th-2300-koebenhavn-s-01017848__39__3__th,"Ungarnsgade 39, 3. th. 2300 København S",65
https://www.boligsiden.dk/adresse/a.f.-beyers-vej-8-1-th-2720-vanloese-01010484___8__1__th,"A.F. Beyers Vej 8, 1. th. 2720 Vanløse",58
https://www.boligsiden.dk/adresse/noerre-farimagsgade-45-1-th-1364-koebenhavn-k-01015200__45__1__th,"Nørre Farimagsgade 45, 1. th. 1364 København K",100
https://www.boligsiden.dk/adresse/knud-kristensens-gade-14-2300-koebenhavn-s-01013810__14_______,Knud Kristensens Gade 14 2300 København S,252
https://www.boligsiden.dk/adresse/frederikssundsvej-346-3-316-2700-broenshoej-01011964_346__3_316,"Frederikssundsvej 346, 3. 316. 2700 Brønshøj",36
https://www.boligsiden.dk/adresse/clara-pontoppidans-vej-6-1-th-2500-valby-01011166___6__1__th,"Clara Pontoppidans Vej 6, 1. th. 2500 Valby",103
https://www.boligsiden.dk/adresse/fredensgade-13-1-th-2200-koebenhavn-n-01011908__13__1__th,"Fredensgade 13, 1. th. 2200 København N",73
https://www.boligsiden.dk/adresse/frimestervej-36-4-th-2400-koebenhavn-nv-01011996__36__4__th,"Frimestervej 36, 4. th. 2400 København NV",71
https://www.boligsiden.dk/adresse/humlehaven-26-1-2500-valby-01013084__26__1____,"Humlehaven 26, 1. 2500 Valby",91
https://www.boligsiden.dk/adresse/aalandsgade-24-0-tv-2300-koebenhavn-s-01018664__24_st__tv,"Ålandsgade 24, st. tv. 2300 København S",51
https://www.boligsiden.dk/adresse/hilleroedgade-21a-4-tv-2200-koebenhavn-n-01012888_21a__4__tv,"Hillerødgade 21A, 4. tv. 2200 København N",56
https://www.boligsiden.dk/adresse/frankrigshusene-11-3-tv-2300-koebenhavn-s-01011900__11__3__tv,"Frankrigshusene 11, 3. tv. 2300 København S",74
https://www.boligsiden.dk/adresse/heimdalsgade-42-4-50-2200-koebenhavn-n-01012744__42__4__50,"Heimdalsgade 42, 4. 50. 2200 København N",51
https://www.boligsiden.dk/adresse/borups-alle-235c-2-th-2400-koebenhavn-nv-01010760235c__2__th,"Borups Allé 235C, 2. th. 2400 København NV",42
https://www.boligsiden.dk/adresse/caprivej-2-4-tv-2300-koebenhavn-s-01011060___2__4__tv,"Caprivej 2, 4. tv. 2300 København S",56
https://www.boligsiden.dk/adresse/aegirsgade-35-4-tv-2200-koebenhavn-n-01018520__35__4__tv,"Ægirsgade 35, 4. tv. 2200 København N",52
https://www.boligsiden.dk/adresse/svinget-13-4-th-2300-koebenhavn-s-01017196__13__4__th,"Svinget 13, 4. th. 2300 København S",71
https://www.boligsiden.dk/adresse/dalfoeret-17-3-th-2300-koebenhavn-s-01011224__17__3__th,"Dalføret 17, 3. th. 2300 København S",85
https://www.boligsiden.dk/adresse/robert-jacobsens-vej-80-3-1-2300-koebenhavn-s-01015894__80__3___1,"Robert Jacobsens Vej 80, 3. 1. 2300 København S",97
https://www.boligsiden.dk/adresse/goteborg-plads-12-1-tv-2150-nordhavn-01018830__12__1__tv,"Göteborg Plads 12, 1. tv. 2150 Nordhavn",73
https://www.boligsiden.dk/adresse/toldbodgade-29b-5-1253-koebenhavn-k-01017540_29b__5____,"Toldbodgade 29B, 5. 1253 København K",286
https://www.boligsiden.dk/adresse/halsskovgade-2-3-314-2100-koebenhavn-oe-01012546___2__3_314,"Halsskovgade 2, 3. 314. 2100 København Ø",48
https://www.boligsiden.dk/adresse/dampfaergevej-24b-3-th-2100-koebenhavn-oe-01011246_24b__3__th,"Dampfærgevej 24B, 3. th. 2100 København Ø",118
https://www.boligsiden.dk/adresse/ahornsgade-25-1-th-2200-koebenhavn-n-01010068__25__1__th,"Ahornsgade 25, 1. th. 2200 København N",71
https://www.boligsiden.dk/adresse/kabbelejevej-13-0-mf-2700-broenshoej-01013480__13_st__mf,"Kabbelejevej 13, st. mf. 2700 Brønshøj",55
https://www.boligsiden.dk/adresse/laerkevej-8-3-th-2400-koebenhavn-nv-01014528___8__3__th,"Lærkevej 8, 3. th. 2400 København NV",67
https://www.boligsiden.dk/adresse/landemaerket-7-3-tv-1119-koebenhavn-k-01014100___7__3__tv,"Landemærket 7, 3. tv. 1119 København K",175
https://www.boligsiden.dk/adresse/valby-langgade-7b-1-2500-valby-01017912__7b__1____,"Valby Langgade 7B, 1. 2500 Valby",247
https://www.boligsiden.dk/adresse/sorgenfrigade-8h-0-2200-koebenhavn-n-01016732__8h_st____,"Sorgenfrigade 8H, st. 2200 København N",114
https://www.boligsiden.dk/adresse/tuborgvej-15-1-10-2900-hellerup-01017684__15__1__10,"Tuborgvej 15, 1. 10. 2900 Hellerup",69
https://www.boligsiden.dk/adresse/florensvej-10-1-th-2300-koebenhavn-s-01011832__10__1__th,"Florensvej 10, 1. th. 2300 København S",78
https://www.boligsiden.dk/adresse/oesterbrogade-110-2-2100-koebenhavn-oe-01018580_110__2____,"Østerbrogade 110, 2. 2100 København Ø",264
https://www.boligsiden.dk/adresse/ingerslevsgade-136-2-tv-1705-koebenhavn-v-01013272_136__2__tv,"Ingerslevsgade 136, 2. tv. 1705 København V",113
https://www.boligsiden.dk/adresse/tycho-brahes-alle-13-1-th-2300-koebenhavn-s-01017740__13__1__th,"Tycho Brahes Allé 13, 1. th. 2300 København S",50
https://www.boligsiden.dk/adresse/voelundsgade-22-0-tv-2200-koebenhavn-n-01018480__22_st__tv,"Vølundsgade 22, st. tv. 2200 København N",44
https://www.boligsiden.dk/adresse/saxhoejvej-49-2-th-2500-valby-01016284__49__2__th,"Saxhøjvej 49, 2. th. 2500 Valby",81
https://www.boligsiden.dk/adresse/jagtvej-57-5-th-2200-koebenhavn-n-01013332__57__5__th,"Jagtvej 57, 5. th. 2200 København N",84
https://www.boligsiden.dk/adresse/vilhelm-buhls-gade-17-2300-koebenhavn-s-01018343__17_______,Vilhelm Buhls Gade 17 2300 København S,120
https://www.boligsiden.dk/adresse/birkedommervej-28-0-th-2400-koebenhavn-nv-01010504__28_st__th,"Birkedommervej 28, st. th. 2400 København NV",63
https://www.boligsiden.dk/adresse/vigerslevvej-342-2-th-2500-valby-01018320_342__2__th,"Vigerslevvej 342, 2. th. 2500 Valby",56
https://www.boligsiden.dk/adresse/nattergalevej-88-2-th-2400-koebenhavn-nv-01014948__88__2__th,"Nattergalevej 88, 2. th. 2400 København NV",54
https://www.boligsiden.dk/adresse/polensgade-22-1-th-2300-koebenhavn-s-01015548__22__1__th,"Polensgade 22, 1. th. 2300 København S",57
https://www.boligsiden.dk/adresse/dronningens-tvaergade-36-1-5-1302-koebenhavn-k-01011356__36__1___5,"Dronningens Tværgade 36, 1. 5. 1302 København K",63
https://www.boligsiden.dk/adresse/frederikssundsvej-189a-2-th-2700-broenshoej-01011964189a__2__th,"Frederikssundsvej 189A, 2. th. 2700 Brønshøj",62
https://www.boligsiden.dk/adresse/frederiksborgvej-17-5-th-2400-koebenhavn-nv-01011940__17__5__th,"Frederiksborgvej 17, 5. th. 2400 København NV",66
https://www.boligsiden.dk/adresse/amerika-plads-25e-3-tv-2100-koebenhavn-oe-01010139_25e__3__tv,"Amerika Plads 25E, 3. tv. 2100 København Ø",96
https://www.boligsiden.dk/adresse/amager-boulevard-125-5-th-2300-koebenhavn-s-01010104_125__5__th,"Amager Boulevard 125, 5. th. 2300 København S",156
https://www.boligsiden.dk/adresse/peder-lykkes-vej-52-2-th-2300-koebenhavn-s-01015452__52__2__th,"Peder Lykkes Vej 52, 2. th. 2300 København S",153
https://www.boligsiden.dk/adresse/breslaugade-14-3-1-2300-koebenhavn-s-01010836__14__3___1,"Breslaugade 14, 3. 1. 2300 København S",82
https://www.boligsiden.dk/adresse/englandsvej-42-1-th-2300-koebenhavn-s-01011600__42__1__th,"Englandsvej 42, 1. th. 2300 København S",60
https://www.boligsiden.dk/adresse/loegstoergade-26-0-th-2100-koebenhavn-oe-01014540__26_st__th,"Løgstørgade 26, st. th. 2100 København Ø",64
https://www.boligsiden.dk/adresse/rodosvej-7c-2-th-2300-koebenhavn-s-01015896__7c__2__th,"Rodosvej 7C, 2. th. 2300 København S",50
https://www.boligsiden.dk/adresse/lyneborggade-4-2-th-2300-koebenhavn-s-01014468___4__2__th,"Lyneborggade 4, 2. th. 2300 København S",60
https://www.boligsiden.dk/adresse/vendsysselvej-12-2-th-2720-vanloese-01018148__12__2__th,"Vendsysselvej 12, 2. th. 2720 Vanløse",63
https://www.boligsiden.dk/adresse/strandlodsvej-19c-1-th-2300-koebenhavn-s-01016996_19c__1__th,"Strandlodsvej 19C, 1. th. 2300 København S",93
https://www.boligsiden.dk/adresse/saltholmsvej-7-0-2300-koebenhavn-s-01016188___7_st____,"Saltholmsvej 7, st. 2300 København S",101
https://www.boligsiden.dk/adresse/himmerlandsvej-14-0-th-2720-vanloese-01012892__14_st__th,"Himmerlandsvej 14, st. th. 2720 Vanløse",55
https://www.boligsiden.dk/adresse/artillerivej-120-5-2300-koebenhavn-s-01010232_120__5____,"Artillerivej 120, 5. 2300 København S",203
https://www.boligsiden.dk/adresse/svinget-15-0-th-2300-koebenhavn-s-01017196__15_st__th,"Svinget 15, st. th. 2300 København S",73
https://www.boligsiden.dk/adresse/hjortholms-alle-2-3-tv-2400-koebenhavn-nv-01012944___2__3__tv,"Hjortholms Allé 2, 3. tv. 2400 København NV",43
https://www.boligsiden.dk/adresse/dortheavej-58-1-2400-koebenhavn-nv-01011312__58__1____,"Dortheavej 58, 1. 2400 København NV",64
https://www.boligsiden.dk/adresse/ungarnsgade-2-0-tv-2300-koebenhavn-s-01017848___2_st__tv,"Ungarnsgade 2, st. tv. 2300 København S",32
https://www.boligsiden.dk/adresse/gothersgade-159-2-th-1123-koebenhavn-k-01012272_159__2__th,"Gothersgade 159, 2. th. 1123 København K",77
https://www.boligsiden.dk/adresse/centerparken-24-2-tv-2500-valby-01011094__24__2__tv,"Centerparken 24, 2. tv. 2500 Valby",65
https://www.boligsiden.dk/adresse/manoegade-10-4-tv-2100-koebenhavn-oe-01014620__10__4__tv,"Manøgade 10, 4. tv. 2100 København Ø",80
https://www.boligsiden.dk/adresse/wildersgade-60c-3-tv-1408-koebenhavn-k-01018340_60c__3__tv,"Wildersgade 60C, 3. tv. 1408 København K",106
https://www.boligsiden.dk/adresse/fjenneslevvej-16-1-tv-2700-broenshoej-01011800__16__1__tv,"Fjenneslevvej 16, 1. tv. 2700 Brønshøj",57
